D:\chromeDownloads\Sorted\24\24S01E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E12\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E16\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E18\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E19\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S01E21\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E02\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E03\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E04\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E05\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E07\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E08\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E09\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E10\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E12\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E13\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E14\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E15\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E16\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E18\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E19\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E20\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E21\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E22\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E23\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S02E24\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E02\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E04\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E07\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E08\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E09\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E10\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E12\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E13\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E14\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E15\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E16\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E17\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E18\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E19\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E20\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E21\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E22\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S04E23\en.srt,Synced and extracted phrases
